ENGINE_LOAD,ENGINE_COOLANT_TEMP,ENGINE_SPEED,VEHICLE_SPEED,INTAKE_AIR_TEMP,THROTTLE_POSITION,RUN_TIME_SINCE_ENGINE_START
1824.25,0,13,20.392156862745097,31
35.294117647058826,16,1832.0,0,13,20.392156862745097,32
35.294117647058826,17,1839.75,0,13,20.392156862745097,33
35.294117647058826,17,1843.75,0,13,20.392156862745097,34
35.294117647058826,17,1863.25,0,13,20.392156862745097,35
35.294117647058826,17,1863.25,0,13,20.392156862745097,36
35.68627450980392,17,1863.25,0,13,20.392156862745097,37
35.68627450980392,18,1855.5,0,13,20.392156862745097,38
35.68627450980392,18,1859.5,0,13,20.392156862745097,38
35.68627450980392,18,1843.75,0,13,19.215686274509803,39
36.470588235294116,18,1429.75,0,13,19.215686274509803,40
45.490196078431374,19,1097.75,0,13,18.823529411764707,41
49.01960784313725,19,1402.25,4,13,20.392156862745097,42
45.88235294117647,19,1511.75,6,13,21.96078431372549,43
63.13725490196078,19,1910.25,8,13,24.705882352941178,44
63.529411764705884,19,2054.75,10,13,25.49019607843137,45
65.88235294117646,19,2113.25,13,13,25.88235294117647,46
66.66666666666667,19,2097.75,15,13,25.88235294117647,47
67.05882352941177,20,2093.75,16,13,25.88235294117647,47
66.66666666666667,20,2047.0,18,13,23.92156862745098,48
31.372549019607842,20,1445.25,18,13,16.862745098039216,49
29.41176470588235,20,1406.25,17,13,17.254901960784313,50
29.41176470588235,20,1402.25,16,13,17.254901960784313,51
33.72549019607843,21,1386.75,13,13,17.647058823529413,52
34.11764705882353,21,1300.75,7,13,18.03921568627451,53
37.254901960784316,21,1140.75,5,13,17.647058823529413,54
38.03921568627451,21,1187.5,6,13,19.607843137254903,54
56.470588235294116,21,1929.75,8,13,25.098039215686274,55
58.8235294117647,22,2207.0,11,13,24.705882352941178,56
61.17647058823529,22,2250.0,13,13,25.49019607843137,57
63.92156862745098,22,2308.5,16,13,26.274509803921568,58
62.745098039215684,23,2277.25,18,13,25.88235294117647,59
61.96078431372549,23,2265.75,20,13,24.705882352941178,60
33.333333333333336,23,1644.5,20,13,18.823529411764707,61
38.431372549019606,23,1535.25,20,13,19.607843137254903,62
38.8235294117647,23,1566.5,20,13,16.470588235294116,63
29.019607843137255,24,1382.75,20,13,16.470588235294116,63
29.019607843137255,24,1410.25,19,13,21.96078431372549,64
55.294117647058826,24,1957.0,20,13,24.313725490196077,65
58.03921568627451,24,2050.75,20,13,23.92156862745098,66
60.3921568627451,24,2113.25,22,13,25.098039215686274,67
60.0,25,2160.25,23,13,24.705882352941178,68
60.0,25,2156.25,24,13,24.705882352941178,69
60.0,25,2140.75,25,13,24.705882352941178,70
60.0,26,2144.5,26,13,24.705882352941178,71
60.0,26,2132.75,27,13,24.313725490196077,71
31.372549019607842,26,1660.25,27,13,16.470588235294116,72
27.84313725490196,26,1371.0,27,13,17.647058823529413,73
36.07843137254902,26,1593.75,26,13,16.470588235294116,74
28.627450980392158,26,1328.25,25,13,16.470588235294116,75
30.19607843137255,27,1308.5,21,13,16.470588235294116,76
30.980392156862745,27,1304.75,17,13,16.862745098039216,77
30.980392156862745,27,1394.5,16,13,20.784313725490197,78
55.294117647058826,27,1933.5,16,13,25.49019607843137,79
67.05882352941177,28,2086.0,17,13,25.49019607843137,79
66.27450980392157,28,2082.0,18,13,25.88235294117647,80
66.27450980392157,28,2101.5,19,13,25.88235294117647,81
53.333333333333336,29,1828.25,20,13,22.745098039215687,82
46.666666666666664,29,1730.5,20,13,22.745098039215687,83
55.294117647058826,29,1945.25,20,13,23.52941176470588,84
56.86274509803921,29,2035.25,21,13,23.137254901960784,85
49.80392156862745,29,1867.25,21,13,18.431372549019606,86
35.294117647058826,30,1500.0,21,13,20.784313725490197,87
50.19607843137255,30,1816.5,21,13,18.431372549019606,88
33.72549019607843,30,1484.5,21,13,18.03921568627451,88
34.11764705882353,30,1449.25,20,13,16.07843137254902,89
28.627450980392158,30,1343.75,19,13,16.470588235294116,90
30.588235294117645,31,1339.75,16,13,17.254901960784313,91
32.549019607843135,31,1351.5,13,13,16.862745098039216,92
40.78431372549019,31,1664.0,12,13,21.96078431372549,93
56.470588235294116,31,1976.5,13,13,23.52941176470588,94
56.86274509803921,31,2031.25,14,13,23.92156862745098,95
56.470588235294116,32,2050.75,15,13,24.313725490196077,95
57.254901960784316,32,2074.25,17,13,23.92156862745098,96
56.86274509803921,32,2054.75,18,13,23.92156862745098,97
25.88235294117647,32,1511.75,19,13,16.470588235294116,98
29.80392156862745,32,1351.5,17,13,16.862745098039216,99
36.07843137254902,32,1468.75,16,13,23.137254901960784,100
61.568627450980394,33,2097.75,17,13,25.098039215686274,101
61.17647058823529,33,2257.75,18,13,27.058823529411764,102
70.19607843137254,33,2554.75,20,13,27.84313725490196,103
68.62745098039215,33,2586.0,22,13,27.84313725490196,103
68.62745098039215,34,2574.25,24,13,27.45098039215686,104
45.09803921568627,34,2117.25,25,13,16.07843137254902,105
24.705882352941178,34,1332.0,25,13,16.07843137254902,106
26.274509803921568,34,1304.75,24,13,18.03921568627451,107
31.372549019607842,34,1504.0,23,13,15.686274509803921,108
26.274509803921568,34,1304.75,22,13,16.07843137254902,109
26.666666666666668,35,1269.5,20,13,15.686274509803921,110
43.92156862745098,35,1734.5,19,13,22.745098039215687,111
58.8235294117647,35,2050.75,19,13,24.313725490196077,111
58.8235294117647,35,2144.5,20,13,24.313725490196077,112
66.66666666666667,36,2218.75,20,13,26.274509803921568,113
65.88235294117646,36,2238.25,21,13,26.274509803921568,114
